fuente,nombre,total_archivos,archivos_esperados,completitud,anios_faltantes,links_ok,links_rotos,porcentaje_links_ok,tiempo_promedio_respuesta,columnas_promedio,columnas_min,columnas_max,columnas_consistentes,nombres_columnas_base,filas_promedio,porcentaje_nulos_promedio,duplicados_promedio,tiene_multiples_versiones,estructura_inconsistente,archivos_vacios,requiere_limpieza,score_calidad
homicidios,Homicidios,7,7,100.0,[],7,0,100.0,0.612,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",10972.86,0.09,0.0,False,False,False,False,99.99
abigeato,Abigeato,7,7,100.0,[],7,0,100.0,0.713,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",2444.0,0.61,0.4639,False,False,False,True,99.92
extorsion,Extorsión,7,7,100.0,[],7,0,100.0,0.626,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",8715.43,0.45,0.8339,False,False,False,True,99.91
hurto_residencias,Hurto a residencias,7,7,100.0,[],7,0,100.0,0.472,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",29734.43,0.13,3.2323,False,False,False,True,99.83
amenazas,Amenazas,7,7,100.0,[],7,0,100.0,0.59,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",37828.71,0.82,3.5891,False,False,False,True,99.74
violencia_intrafamiliar,Violencia intrafamiliar,8,7,100.0,[],8,0,100.0,0.463,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",61319.38,0.03,6.6825,True,False,False,True,99.66
hurto_comercio,Hurto a comercio,7,7,100.0,[],7,0,100.0,0.464,6.0,6,6,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5']",30158.14,0.03,6.9671,False,False,False,True,99.65
terrorismo,Terrorismo,9,7,100.0,[],9,0,100.0,0.459,6.0,6,6,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5']",272.0,3.48,1.8259,True,False,False,True,99.56
hurto_personas,Hurto a personas,7,7,100.0,[],7,0,100.0,0.49,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",122033.57,0.05,9.7603,False,False,False,True,99.51
lesiones_personales,Lesiones personales,7,7,100.0,[],7,0,100.0,0.459,8.0,8,8,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",74186.0,0.01,11.3625,False,False,False,True,99.43
hurto_entidades_financieras,Hurto a entidades financieras,8,7,100.0,[],8,0,100.0,0.484,6.0,6,6,True,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5']",137.75,6.37,0.6267,True,False,False,True,99.33
homicidios_accidentes_transito,Homicidios en accidentes de tránsito,7,7,100.0,[],7,0,100.0,0.494,7.71,7,8,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",6044.43,0.15,1.8117,False,True,False,True,79.89
delitos_sexuales,Delitos sexuales,7,7,100.0,[],7,0,100.0,0.606,8.71,8,9,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7', 'UNNAMED_8']",28511.86,0.05,3.0372,False,True,False,True,79.84
lesiones_accidente_transito,Lesiones en accidentes de tránsito,8,7,100.0,[],8,0,100.0,0.454,7.62,7,8,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7']",29332.88,0.07,6.5812,True,True,False,True,79.66
hurto_automotores,Hurto de automotores,8,7,100.0,[],8,0,100.0,0.471,6.5,6,8,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5']",7133.25,0.22,7.0526,True,True,False,True,79.63
secuestro,Secuestro,8,7,100.0,[],8,0,100.0,0.479,8.62,8,9,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5', 'UNNAMED_6', 'UNNAMED_7', 'UNNAMED_8']",186.75,5.26,0.7282,True,True,False,True,79.44
pirateria_terrestre,Piratería terrestre,8,7,100.0,[],8,0,100.0,0.473,7.0,6,8,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5']",263.75,8.25,0.6244,True,True,False,True,79.14
hurto_motocicletas,Hurto de motocicletas,7,7,100.0,[],7,0,100.0,0.472,7.29,6,15,False,"['MINISTERIO_DE_DEFENSA_NACIONAL', 'UNNAMED_1', 'UNNAMED_2', 'UNNAMED_3', 'UNNAMED_4', 'UNNAMED_5']",24302.29,8.73,6.1223,False,True,False,True,78.82
